 Online PassKey,Onlayn PassKey,
 Purchase Value,Xarid qiymati,
 Quoted Amount,Keltirilgan miqdor,
 Sales Value,Savdo qiymati,
 Total Sales Amount,Jami savdo hajmi,
 choose the 'Naming Series' option.,&quot;Nomlash seriyasi&quot; parametrini tanlang.,
 days.,kunlar.,
 from {0},{0} dan,
 out of {0},{0} dan,
 to know more,ko&#39;proq bilish,
 to {0},{0} ga,
"""Customer Provided Item"" cannot be Purchase Item also","""Хэрэглэгчийн өгсөн зүйл"" нь мөн Худалдан авах зүйл байж болохгүй",
"""Customer Provided Item"" cannot have Valuation Rate","""Хэрэглэгчийн өгсөн зүйл"" нь Үнэлгээний хувьтай байж болохгүй",
"""From Date"" can not be greater than or equal to ""To Date""","""Одооноос"" нь ""Одоог хүртэл""-ээс их буюу тэнцүү байж болохгүй.",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Тухайн зүйлийн эсрэг хөрөнгийн бүртгэл байгаа тул ""Үндсэн хөрөнгө"" гэсэн сонголтыг арилгах боломжгүй",
%  Delivered,% Хүргэгдсэн,
% Amount Billed,% Төлбөрийн дүн,
% Billed,% тооцоо хийсэн,
% Complete,% Дууссан,
% Complete Method,% Бүрэн арга,
% Completed,% Дууссан,
% Finished Item Quantity,% Дууссан бүтээгдэхүүний тоо хэмжээ,
% Installed,% суулгасан,
% Occupied,% эзэлсэн,
% Of Applicant Portfolio,Өргөдөл гаргагчийн багцын %,
% Of Grand Total,Нийт дүнгийн %,
% Of Total Portfolio,Нийт багцын %,
% Ordered,% захиалга,
% Picked,% Сонгосон,
% Progress,% ахиц,
% Received,% Хүлээн авсан,
% Returned,% Буцсан,
% Utilization (B + NB) / T,% ашиглалт (B + NB) / T,
% Utilization (B / T),Ашиглалтын % (B / T),
% of materials billed against this Sales Order,Энэхүү Борлуулалтын захиалгын дагуу нэхэмжилсэн материалын %,
% of materials delivered against this Delivery Note,Энэхүү хүргэлтийн тэмдэглэлийн дагуу нийлүүлсэн материалын %,
% of materials delivered against this Sales Order,Энэхүү борлуулалтын захиалгын дагуу хүргэгдсэн материалын %,
'Account' in the Accounting section of Customer {0},"Харилцагчийн {0} Нягтлан бодох бүртгэлийн хэсэг дэх ""Бүртгэл""",
'Based On' and 'Group By' can not be same,'Based on' болон 'Group By' нь ижил байж болохгүй,
'Date' is required,"""Огноо"" шаардлагатай",
'Days Since Last Order' must be greater than or equal to zero,"""Сүүлийн захиалгаас хойшхи өдрүүд"" нь тэгээс их буюу тэнцүү байх ёстой",
'Default {0} Account' in Company {1},{1} компанийн 'Өгөгдмөл {0} бүртгэл',
'Entries' cannot be empty,'Оруулга' хоосон байж болохгүй,
'From Date' is required,"""Огнооноос"" шаардлагатай",
'From Date' must be after 'To Date',"""Одооноос"" нь ""Одоо хүртэл""-ийн дараа байх ёстой",
'Has Serial No' can not be 'Yes' for non-stock item,"Агуулахын бус зүйлийн хувьд ""Цуваа дугаартай"" нь ""Тийм"" байж болохгүй",
'Opening',"""Нээлт""",
'To Case No.' cannot be less than 'From Case No.',"""Хэргийн дугаарт"" ""Хэргийн дугаар""-аас бага байж болохгүй.",
'To Date' is required,"""Одоог хүртэл"" шаардлагатай",
'Update Stock' can not be checked because items are not delivered via {0},"Барааг {0}-р хүргээгүй тул ""Нөөцийг шинэчлэх""-г шалгах боломжгүй.",
'Update Stock' cannot be checked for fixed asset sale,"""Агуулахын шинэчлэлт""-ийг үндсэн хөрөнгийн борлуулалтыг шалгах боломжгүй",
'employee_field_value' and 'timestamp' are required.,'ажилтны_талбайн_үнэ' болон 'цаг хугацааны тэмдэг' шаардлагатай.,
(Ca+Mg)/K,(Ca+Mg)/K,
(Forecast),(урьдчилан таамаглах),
(Half Day),(Хагас өдөр),
(Hour Rate / 60) * Actual Operation Time,(Цагийн хурд / 60) * Бодит үйл ажиллагааны хугацаа,
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,(Серийн дугаар: {0}) нь борлуулалтын захиалгыг {1} биелүүлэх нөөцтэй тул хэрэглэх боломжгүй.,
(including),(үүнд),
) for {0},) {0}-д,
* Will be calculated in the transaction.,* Гүйлгээнд тооцох болно.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Санхүүгийн жил** нь санхүүгийн жилийг илэрхийлнэ. Нягтлан бодох бүртгэлийн бүх бичилт болон бусад томоохон гүйлгээг **Санхүүгийн жил**-тэй харьцуулан хянадаг.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**Сар бүрийн хуваарилалт** нь хэрэв таны бизнес улирлын шинж чанартай бол төсөв/зорилтотыг сараар хуваарилахад тусална.,
...Adding Article to Topics,...Сэдвүүдэд нийтлэл нэмэх,
...Adding Course to Programs,...Хөтөлбөрт хичээл нэмэх,
...Adding Quiz to Topics,...Сэдвүүдэд асуулт хариулт нэмж байна,
...Adding Topic to Courses,...Хичээлүүдэд сэдэв нэмэх,
1 Loyalty Points = How much base currency?,1 үнэнч оноо = Хэр их суурь валют вэ?,
1 hr,1 цаг,
2 Yearly,2 Жил бүр,
30 mins,30 минут,
6 hrs,6 цаг,
80G Number,80G дугаар,
80G With Effect From,Эффекттэй 80G,
90 Above,90 дээш,
